FIRST NAME,YOB,ENROLL,DESIGNATE,DT ACCEPT,CG,CTY,DT CHG,DT LAST VPH
Tommie Brandi,1977,R, ,11/13/1995,2,01AND,8/12/2009, 
Sean Bortz,1977,U, ,01/01/1850,2,01AND,3/11/2011, 
Wm Salem,1977,U, ,11/2/2006,2,01AND,3/21/2011, 
Homer Dalman,1977,U, ,11/8/2005,2,01AND,11/6/2014,11/4/2014
Seymour Seiber,1978,D, ,9/25/2002,2,01AND,7/31/2013,11/4/2014
Waldo Weidman,1978,D, ,10/12/2004,2,01AND,3/8/2016,11/6/2012
Marco Mccarley,1978,D, ,11/2/2004,2,01AND,3/11/2011, 
Carl Bogar,1978,L, ,7/11/2016,2,01AND,7/12/2016, 
Fidel Keown,1978,R, ,3/19/2004,2,01AND,11/16/2012,6/14/2016
Art Destefano,1978,R, ,10/25/2004,2,01AND,10/25/2010,11/4/2014
Mack Esses,1978,R, ,11/2/2004,2,01AND,4/9/2015,11/4/2014
Elmer Prestwood,1978,R, ,11/7/2006,2,01AND,11/20/2006,11/3/2015
Rupert Kinner,1978,U, ,01/01/1850,2,01AND,4/28/2016,11/4/2014
Omer Cress,1978,U, ,3/16/2012,2,01AND,10/4/2013,11/6/2012
Cletus Bodine, , , , , , , , 
Sydney Cecena,1978,U, ,11/2/2004,2,01AND,12/31/2005,11/3/2009
Zane Kime,1979,D, ,10/25/2008,2,01AND,10/22/2011,11/4/2008
Barney Xie,1979,D, ,11/4/2008,2,01AND,10/22/2011,11/4/2008
Miguel Reading,1979,R, ,10/23/2012,2,01AND,10/23/2012,11/6/2012
Earle Manor,1979,U, ,8/2/2016,2,01AND,8/4/2016, 
Mckinley Guynn,1680,D, ,11/27/2007,2,01AND,10/18/2011,11/4/2014
Gregory Scherer,1980,R, ,10/18/2004,2,01AND,12/31/2005,11/4/2014
Rob Heth,1980,R, ,11/4/2014,2,01AND,11/6/2014,11/4/2014
Chris Cola,1980,U, ,2/1/2008,2,01AND,4/4/2013,11/4/2014
Benjamin Wilton,1981,D, ,2/23/2016,2,01AND,4/5/2016, 
Stephen Shaughnessy,1981,R, ,2/18/2015,2,01AND,2/25/2015, 
Erick Roth,1981,U, ,4/28/2004,2,01AND,3/11/2011, 
Francesco Pharis,1981,U, ,10/4/2004,2,01AND,11/14/2006,11/4/2014
Eddy Shoop,1981,U, ,11/4/2008,2,01AND,12/30/2009,11/4/2008
Quintin Speegle,1982,D, ,3/7/2000,2,01AND,12/31/2005,11/6/2012
Mervin Margolis,1982,D, ,11/7/2006,2,01AND,11/12/2008,11/6/2012
